Created as New Dataset,Sample 011 By Administrator Date Thursday, May 29 2025
cm-1,A
4000.00,0.0115
3999.00,0.0115
3998.00,0.0115
3997.00,0.0115
3996.00,0.0115
3995.00,0.0115
3994.00,0.0115
3993.00,0.0115
3992.00,0.0115
3991.00,0.0115
3990.00,0.0116
3989.00,0.0116
3988.00,0.0116
3987.00,0.0116
3986.00,0.0116
3985.00,0.0116
3984.00,0.0115
3983.00,0.0115
3982.00,0.0115
3981.00,0.0115
3980.00,0.0116
3979.00,0.0116
3978.00,0.0116
3977.00,0.0116
3976.00,0.0116
3975.00,0.0116
3974.00,0.0115
3973.00,0.0115
3972.00,0.0115
3971.00,0.0115
3970.00,0.0115
3969.00,0.0115
3968.00,0.0115
3967.00,0.0115
3966.00,0.0115
3965.00,0.0116
3964.00,0.0116
3963.00,0.0116
3962.00,0.0116
3961.00,0.0116
3960.00,0.0116
3959.00,0.0116
3958.00,0.0116
3957.00,0.0116
3956.00,0.0116
3955.00,0.0116
3954.00,0.0116
3953.00,0.0116
3952.00,0.0116
3951.00,0.0116
3950.00,0.0116
3949.00,0.0116
3948.00,0.0116
3947.00,0.0116
3946.00,0.0116
3945.00,0.0116
3944.00,0.0116
3943.00,0.0116
3942.00,0.0116
3941.00,0.0116
3940.00,0.0115
3939.00,0.0115
3938.00,0.0115
3937.00,0.0115
3936.00,0.0115
3935.00,0.0116
3934.00,0.0116
3933.00,0.0116
3932.00,0.0116
3931.00,0.0116
3930.00,0.0116
3929.00,0.0116
3928.00,0.0115
3927.00,0.0115
3926.00,0.0115
3925.00,0.0115
3924.00,0.0115
3923.00,0.0115
3922.00,0.0115
3921.00,0.0115
3920.00,0.0116
3919.00,0.0116
3918.00,0.0116
3917.00,0.0116
3916.00,0.0115
3915.00,0.0114
3914.00,0.0113
3913.00,0.0113
3912.00,0.0113
3911.00,0.0114
3910.00,0.0114
3909.00,0.0115
3908.00,0.0115
3907.00,0.0116
3906.00,0.0116
3905.00,0.0117
3904.00,0.0117
3903.00,0.0117
3902.00,0.0117
3901.00,0.0117
3900.00,0.0116
3899.00,0.0115
3898.00,0.0114
3897.00,0.0114
3896.00,0.0114
3895.00,0.0114
3894.00,0.0115
3893.00,0.0115
3892.00,0.0115
3891.00,0.0115
3890.00,0.0114
3889.00,0.0115
3888.00,0.0115
3887.00,0.0115
3886.00,0.0115
3885.00,0.0115
3884.00,0.0115
3883.00,0.0115
3882.00,0.0115
3881.00,0.0114
3880.00,0.0114
3879.00,0.0113
3878.00,0.0113
3877.00,0.0113
3876.00,0.0114
3875.00,0.0114
3874.00,0.0114
3873.00,0.0114
3872.00,0.0115
3871.00,0.0115
3870.00,0.0115
3869.00,0.0115
3868.00,0.0115
3867.00,0.0115
3866.00,0.0115
3865.00,0.0115
3864.00,0.0114
3863.00,0.0114
3862.00,0.0114
3861.00,0.0114
3860.00,0.0114
3859.00,0.0113
3858.00,0.0113
3857.00,0.0113
3856.00,0.0112
3855.00,0.0113
3854.00,0.0113
3853.00,0.0112
3852.00,0.0112
3851.00,0.0111
3850.00,0.0111
3849.00,0.0112
3848.00,0.0113
3847.00,0.0114
3846.00,0.0114
3845.00,0.0114
3844.00,0.0115
3843.00,0.0115
3842.00,0.0115
3841.00,0.0115
3840.00,0.0115
3839.00,0.0114
3838.00,0.0113
3837.00,0.0113
3836.00,0.0113
3835.00,0.0113
3834.00,0.0113
3833.00,0.0113
3832.00,0.0114
3831.00,0.0114
3830.00,0.0114
3829.00,0.0114
3828.00,0.0114
3827.00,0.0114
3826.00,0.0114
3825.00,0.0114
3824.00,0.0114
3823.00,0.0115
3822.00,0.0115
3821.00,0.0114
3820.00,0.0113
3819.00,0.0113
3818.00,0.0113
3817.00,0.0113
3816.00,0.0113
3815.00,0.0112
3814.00,0.0113
